TableName,ColumnName,Description,PK,DataType,Length,DefaultValue,Nullable,ForeignTable,ForeignCol
AdminUnit                                         ,AdminUnit                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
AdminUnit                                         ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
AdminUnit                                         ,DateCreated                                                                ,,FALSE,Date/Time                ,8,                                                  ,TRUE,,
AerialCover                                       ,Comments                                                                   ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
AerialCover                                       ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
AerialCover                                       ,Forbs                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
AerialCover                                       ,Gram                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
AerialCover                                       ,Shrubs                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
AerialCover                                       ,TreeRegen                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
CanopyDensiometer                                 ,Canopy                                                                     ,,FALSE,Text                     ,255,                                                  ,TRUE,,
CanopyDensiometer                                 ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensE                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensN                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensS                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensW                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DotsCount                                                                  ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
CanopyDensiometer                                 ,Point                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,Transect                                                                   ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
DamageCodes                                       ,DamageCat                                                                  ,USFS Damage Category,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageCodes                                       ,DamageCode                                                                 ,NPS Damage Code,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageCodes                                       ,Description                                                                ,Damage description,FALSE,Memo                     ,0,                                                  ,TRUE,,
DamageCodes                                       ,Notes                                                                      ,Additional notes,FALSE,Memo                     ,0,                                                  ,TRUE,,
DamageSev                                         ,DamageCode                                                                 ,,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageSev                                         ,DamageSev                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageSev                                         ,Description                                                                ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
DamageSev                                         ,Notes                                                                      ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Event                                             ,CameraID                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Event                                             ,Declination                                                                ,Magnetic declination in degrees,FALSE,Double                   ,8,7,TRUE,,
Event                                             ,EventDate                                                                  ,,FALSE,Date/Time                ,8,                                                  ,FALSE,,
Event                                             ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Event                                             ,FuelsObserver                                                              ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,FuelsRecorder                                                              ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,Personnel                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,PlotID                                                                     ,,FALSE,Text                     ,255,                                                  ,FALSE,,
Event                                             ,PlotObserver                                                               ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,PlotRecorder                                                               ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,TreeObserver                                                               ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,TreeRecorder                                                               ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,VisitID                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Fuels1000Hr                                       ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Fuels1000Hr                                       ,DecayClass                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Fuels1000Hr                                       ,Diameter                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Fuels1000Hr                                       ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Fuels1000Hr                                       ,LogNum                                                                     ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
Fuels1000Hr                                       ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsDuffLitter                                   ,Comment                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
FuelsDuffLitter                                   ,DuffDepth                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsDuffLitter                                   ,FuelbedDepth                                                               ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,LitterDepth                                                                ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,Offset                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsDuffLitter                                   ,SampleLoc                                                                  ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsDuffLitter                                   ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsFine                                         ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
FuelsFine                                         ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsFine                                         ,HundredHour                                                                ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,OneHour                                                                    ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,Slope                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,TenHour                                                                    ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsVegetation                                   ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
FuelsVegetation                                   ,Cover                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsVegetation                                   ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsVegetation                                   ,Height                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsVegetation                                   ,Item                                                                       ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsVegetation                                   ,Offset                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsVegetation                                   ,SampleLoc                                                                  ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsVegetation                                   ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
GroundCover                                       ,BareSoil                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Bole                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
GroundCover                                       ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
GroundCover                                       ,Gravel                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Litter                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,PlantBasal                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Rock                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,BackDesc                                                                   ,Background descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Comment                                                                    ,Additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Crew                                                                       ,Crew intials of who took the photos,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,DateTime                                                                   ,Date the photo was taken,FALSE,Date/Time                ,8,                                                  ,TRUE,,
PhotoLog                                          ,Direction                                                                  ,Direction facing when the photo was taken,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,Distance                                                                   ,Distance from photo target (default in feet),FALSE,Double                   ,8,0,TRUE,,
PhotoLog                                          ,DistanceUnits                                                              ,Default units for distance,FALSE,Text                     ,255,"""Feet""                                            ",TRUE,,
PhotoLog                                          ,EventID                                                                    ,Event ID,FALSE,Text                     ,255,                                                  ,FALSE,,
PhotoLog                                          ,ForeDesc                                                                   ,Foreground descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Lat                                                                        ,Latitude of photo location (dd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,Long                                                                       ,Longitude of the photo location (ddd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,PhotoID                                                                    ,ID of the photo,TRUE,Text                     ,255,                                                  ,FALSE,,
PhotoLog                                          ,PhotoNum                                                                   ,Photo ID produced by the camera,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,AdminUnit                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Aspect                                                                     ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
Plot                                              ,Azimuth                                                                    ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
Plot                                              ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Plot                                              ,Datum                                                                      ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Elevation                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,LatDD                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,LongDD                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,PlotID                                                                     ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Plot                                              ,PlotName                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,PlotType                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Slope                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
Plot                                              ,UtmX                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,UtmY                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,AdminUnit                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,Agency                                                                     ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,Area                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Project                                           ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,DateCreated                                                                ,,FALSE,Date/Time                ,8,                                                  ,FALSE,,
Project                                           ,Description                                                                ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,Objective                                                                  ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Project                                           ,ProjectName                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,Acres                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,BreakDiam                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectDetail                                     ,Crew                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,LongTerm                                                                   ,,FALSE,Yes/No                   ,1,                                                  ,TRUE,,
ProjectDetail                                     ,NumBrowns                                                                  ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
ProjectDetail                                     ,PlotSize                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,Project                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
ProjectDetail                                     ,ProposalID                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,TxClass                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,TxDates                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,MonitoringStatus                                                           ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,ProjectID                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,VisitID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
ProjectVisit                                      ,VisitNotes                                                                 ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectVisit                                      ,VisitOrder                                                                 ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
ProjectVisit                                      ,VisitYear                                                                  ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
Species                                           ,BaseSymbol                                                                 ,USDA symbol (one:many relationship),FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,CommonName                                                                 ,State Common Name,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Family                                                                     ,Latin family of plant,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,SciName                                                                    ,Scientific Name with Author,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Symbol                                                                     ,Used USDA symbol,TRUE,Text                     ,255,                                                  ,FALSE,,
