Symbol,BaseSymbol,SynSymbol,SciName,CommonName,Family
AGMO,ELMO6,AGMO,×Agroelymus mossii Lepage,,Poaceae
AGMA8,ELMA8,AGMA8,×Agrohordeum macounii (Vasey) Lepage,,Poaceae
AGMAV2,ELMA8,AGMAV2,×Agrohordeum macounii (Vasey) Lepage var. valencianum Bowden,,Poaceae
AGROP3,AGROP3,,×Agropogon Fourn.,agropogon,Poaceae
AGLI,AGLI,,×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis],coast agropogon,Poaceae
AGSA4,ELSA4,AGSA4,×Agrositanion saundersii (Vasey) Bowden,,Poaceae
AGSA5,PSSA2,AGSA5,×Agrositanion saxicola (Scribn. & J.G. Sm.) Bowden,,Poaceae
ELMA8,ELMA8,,×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum],Macoun's barley,Poaceae
ELYHO,ELYHO,,×Elyhordeum Mansf. ex Zizin & Petrowa,barley,Poaceae
ELMA10,ELMA8,ELMA10,×Elytesion macounii (Vasey) Barkworth & D.R. Dewey,,Poaceae
LEKO,PSJU3,LEKO,×Leymostachys korovinii Tzvelev,,Poaceae
PSEUD23,PSEUD23,,×Pseudelymus Barkworth & D.R. Dewey,foxtail wheatgrass,Poaceae
PSSA2,PSSA2,,×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata],foxtail wheatgrass,Poaceae
ABAR2,ABLAA,ABAR2,Abies arizonica Merriam,,Pinaceae
ABBAL,ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae
ABBAF,ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae
ABBI3,ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae
ABCO,ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae
ABCOC,ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae
ABLA,ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae
ABLAB,ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae
ABLAA,ABLAA,,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae
ABLAB2,ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae
ABLAL,ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae
ABIES,ABIES,,Abies Mill.,fir,Pinaceae
ABSU,ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae
ABxx,,,Abies unknown sp.,,Pinaceae
ABAN,ABAN,,Abronia angustifolia Greene,sand verbina (purple),Nyctaginaceae
ABANA,ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,Nyctaginaceae
ABBI,ABBI,,Abronia bigelovii Heimerl,Galisteo sand verbena,Nyctaginaceae
ABBO,ABBO,,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena,Nyctaginaceae
ABCA,ABCA,,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae
ABCA3,TRCAC7,ABCA3,Abronia carnea Greene,,Nyctaginaceae
ABCY2,TRMI6,ABCY2,Abronia cycloptera A. Gray,,Nyctaginaceae
ABEL,ABEL,,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae
ABFR2,ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae
ABFRE2,ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae
ABFRG2,ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae
ABRON,ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae
ABMI3,TRMI6,ABMI3,Abronia micrantha Torr.,,Nyctaginaceae
